TransactionID,CustID,Date,Employee,ProductID,ProductName,VendorID,ProductVendor,UnitPrice,Quantity,Subtotal,Tax(8%),OrderTotal,Month,Year,Weekday
10258,1,2023-07-17,Nancy Davolio,32,mascarpone fabioli,14,formaggi fortini s.r.l.,25.6,6,153.6,12.29,165.89,7,2023,Monday
10275,2,2023-08-07,Nancy Davolio,24,guaran fantstica,10,refrescos americanas ltda,3.6,12,43.2,3.46,46.66,8,2023,Monday
10275,2,2023-08-07,Nancy Davolio,59,raclette courdavault,28,gai pturage,44.0,6,264.0,21.12,285.12,8,2023,Monday
10292,3,2023-08-28,Nancy Davolio,20,sir rodney's marmalade,8,"specialty biscuits, ltd.",64.8,20,1296.0,103.68,1399.68,8,2023,Monday
10293,4,2023-08-29,Nancy Davolio,18,carnarvon tigers,7,"pavlova, ltd.",50.0,12,600.0,48.0,648.0,8,2023,Tuesday
10293,4,2023-08-29,Nancy Davolio,24,guaran fantstica,10,refrescos americanas ltda,3.6,10,36.0,2.88,38.88,8,2023,Tuesday
10293,4,2023-08-29,Nancy Davolio,63,vegie-spread,7,"pavlova, ltd.",35.1,5,175.5,14.04,189.54,8,2023,Tuesday
10293,4,2023-08-29,Nancy Davolio,75,rhnbru klosterbier,12,plutzer lebensmittelgromrkte ag,6.2,6,37.2,2.98,40.18,8,2023,Tuesday
10304,4,2023-09-12,Nancy Davolio,59,raclette courdavault,28,gai pturage,44.0,10,440.0,35.2,475.2,9,2023,Tuesday
10304,4,2023-09-12,Nancy Davolio,71,flotemysost,15,norske meierier,17.2,2,34.4,2.75,37.15,9,2023,Tuesday
10306,5,2023-09-16,Nancy Davolio,30,nord-ost matjeshering,13,nord-ost-fisch handelsgesellschaft mbh,20.7,10,207.0,16.56,223.56,9,2023,Saturday
10306,5,2023-09-16,Nancy Davolio,53,perth pasties,24,"g'day, mate",26.2,10,262.0,20.96,282.96,9,2023,Saturday
10306,5,2023-09-16,Nancy Davolio,54,tourtire,25,ma maison,5.9,5,29.5,2.36,31.86,9,2023,Saturday
10311,6,2023-09-20,Nancy Davolio,42,singaporean hokkien fried mee,20,leka trading,11.2,6,67.2,5.38,72.58,9,2023,Wednesday
10311,6,2023-09-20,Nancy Davolio,69,gudbrandsdalsost,15,norske meierier,28.8,7,201.6,16.13,217.73,9,2023,Wednesday
10316,7,2023-09-27,Nancy Davolio,41,jack's new england clam chowder,19,new england seafood cannery,7.7,10,77.0,6.16,83.16,9,2023,Wednesday
10325,8,2023-10-09,Nancy Davolio,6,grandma's boysenberry spread,3,grandma kelly's homestead,20.0,6,120.0,9.6,129.6,10,2023,Monday
10325,8,2023-10-09,Nancy Davolio,13,konbu,6,mayumi's,4.8,12,57.6,4.61,62.21,10,2023,Monday
10325,8,2023-10-09,Nancy Davolio,14,tofu,6,mayumi's,18.6,9,167.4,13.39,180.79,10,2023,Monday
