TransactionID,CustID,Date,Employee,ProductID,ProductName,VendorID,ProductVendor,UnitPrice,Quantity,Subtotal,Tax(8%),OrderTotal
10258,1,7/17/2023,Nancy Davolio,32,Mascarpone Fabioli,14,Formaggi Fortini s.r.l.,25.6,6,153.6,12.29,165.89
10275,2,8/7/2023,Nancy Davolio,24,Guaran Fantstica,10,Refrescos Americanas LTDA,3.6,12,43.2,3.46,46.66
10275,2,8/7/2023,Nancy Davolio,59,Raclette Courdavault,28,Gai pturage,44,6,264,21.12,285.12
10292,3,8/28/2023,Nancy Davolio,20,Sir Rodney's Marmalade,8,"Specialty Biscuits, Ltd.",64.8,20,1296,103.68,1399.68
10293,4,8/29/2023,Nancy Davolio,18,Carnarvon Tigers,7,"Pavlova, Ltd.",50,12,600,48,648
10293,4,8/29/2023,Nancy Davolio,24,Guaran Fantstica,10,Refrescos Americanas LTDA,3.6,10,36,2.88,38.88
10293,4,8/29/2023,Nancy Davolio,63,Vegie-spread,7,"Pavlova, Ltd.",35.1,5,175.5,14.04,189.54
10293,4,8/29/2023,Nancy Davolio,75,Rhnbru Klosterbier,12,Plutzer Lebensmittelgromrkte AG,6.2,6,37.2,2.98,40.18
10304,4,9/12/2023,Nancy Davolio,59,Raclette Courdavault,28,Gai pturage,44,10,440,35.2,475.2
10304,4,9/12/2023,Nancy Davolio,71,Flotemysost,15,Norske Meierier,17.2,2,34.4,2.75,37.15
10306,5,9/16/2023,Nancy Davolio,30,Nord-Ost Matjeshering,13,Nord-Ost-Fisch Handelsgesellschaft mbH,20.7,10,207,16.56,223.56
10306,5,9/16/2023,Nancy Davolio,53,Perth Pasties,24,"G'day, Mate",26.2,10,262,20.96,282.96
10306,5,9/16/2023,Nancy Davolio,54,Tourtire,25,Ma Maison,5.9,5,29.5,2.36,31.86
10311,6,9/20/2023,Nancy Davolio,42,Singaporean Hokkien Fried Mee,20,Leka Trading,11.2,6,67.2,5.38,72.58
10311,6,9/20/2023,Nancy Davolio,69,Gudbrandsdalsost,15,Norske Meierier,28.8,7,201.6,16.13,217.73
10316,7,9/27/2023,Nancy Davolio,41,Jack's New England Clam Chowder,19,New England Seafood Cannery,7.7,10,77,6.16,83.16
10325,8,10/9/2023,Nancy Davolio,6,Grandma's Boysenberry Spread,3,Grandma Kelly's Homestead,20,6,120,9.6,129.6
10325,8,10/9/2023,Nancy Davolio,13,Konbu,6,Mayumi's,4.8,12,57.6,4.61,62.21
10325,8,10/9/2023,Nancy Davolio,14,Tofu,6,Mayumi's,18.6,9,167.4,13.39,180.79
10325,8,10/9/2023,Nancy Davolio,31,Gorgonzola Telino,14,Formaggi Fortini s.r.l.,10,4,40,3.2,43.2
10340,9,10/29/2023,Nancy Davolio,18,Carnarvon Tigers,7,"Pavlova, Ltd.",50,20,1000,80,1080
10340,9,10/29/2023,Nancy Davolio,41,Jack's New England Clam Chowder,19,New England Seafood Cannery,7.7,12,92.4,7.39,99.79
10351,1,11/11/2023,Nancy Davolio,38,Cte de Blaye,18,Aux joyeux ecclsiastiques,210.8,20,4216,337.28,4553.28
10351,1,11/11/2023,Nancy Davolio,41,Jack's New England Clam Chowder,19,New England Seafood Cannery,7.7,13,100.1,8.01,108.11
10351,1,11/11/2023,Nancy Davolio,65,Louisiana Fiery Hot Pepper Sauce,2,New Orleans Cajun Delights,16.8,10,168,13.44,181.44
10357,10,11/19/2023,Nancy Davolio,26,Gumbr Gummibrchen,11,Heli Swaren GmbH & Co. KG,24.9,16,398.4,31.87,430.27
10357,10,11/19/2023,Nancy Davolio,60,Camembert Pierrot,28,Gai pturage,27.2,8,217.6,17.41,235.01
10364,11,11/26/2023,Nancy Davolio,71,Flotemysost,15,Norske Meierier,17.2,5,86,6.88,92.88
10371,12,12/3/2023,Nancy Davolio,36,Inlagd Sill,17,Svensk Sjfda AB,15.2,6,91.2,7.3,98.5
10374,13,12/5/2023,Nancy Davolio,58,Escargots de Bourgogne,27,Escargots Nouveaux,10.6,15,159,12.72,171.72
10377,14,12/9/2023,Nancy Davolio,28,Rssle Sauerkraut,12,Plutzer Lebensmittelgromrkte AG,36.4,20,728,58.24,786.24
10377,14,12/9/2023,Nancy Davolio,39,Chartreuse verte,18,Aux joyeux ecclsiastiques,14.4,20,288,23.04,311.04
10385,15,12/17/2023,Nancy Davolio,7,Uncle Bob's Organic Dried Pears,3,Grandma Kelly's Homestead,24,10,240,19.2,259.2
10385,15,12/17/2023,Nancy Davolio,60,Camembert Pierrot,28,Gai pturage,27.2,20,544,43.52,587.52
10385,15,12/17/2023,Nancy Davolio,68,Scottish Longbreads,8,"Specialty Biscuits, Ltd.",10,8,80,6.4,86.4
10387,16,12/18/2023,Nancy Davolio,24,Guaran Fantstica,10,Refrescos Americanas LTDA,3.6,15,54,4.32,58.32
10387,16,12/18/2023,Nancy Davolio,28,Rssle Sauerkraut,12,Plutzer Lebensmittelgromrkte AG,36.4,6,218.4,17.47,235.87
10387,16,12/18/2023,Nancy Davolio,59,Raclette Courdavault,28,Gai pturage,44,12,528,42.24,570.24
10387,16,12/18/2023,Nancy Davolio,71,Flotemysost,15,Norske Meierier,17.2,15,258,20.64,278.64
